epoch,step,train_loss
0,49,2.850675582885742
0,99,2.3946726322174072
0,149,2.874678611755371
0,199,2.723158836364746
0,249,2.933415412902832
0,299,2.5141263008117676
0,349,2.4164676666259766
0,399,2.459778308868408
0,449,2.7078957557678223
0,499,2.3250434398651123
0,549,2.4228768348693848
0,599,2.6606764793395996
0,649,2.5271565914154053
0,699,2.16312837600708
0,749,1.9588708877563477
0,799,2.0186281204223633
0,849,1.6886744499206543
0,899,2.457257032394409
0,949,2.278714895248413
0,999,2.2514877319335938
0,1049,2.201313018798828
0,1099,2.014796257019043
0,1149,1.57758629322052
0,1199,2.1391429901123047
0,1249,2.020737886428833
0,1299,2.0966057777404785
0,1349,1.854308843612671
0,1399,2.368990898132324
0,1449,2.3162708282470703
0,1499,2.572422981262207
0,1549,2.3384201526641846
0,1599,2.5054192543029785
0,1649,2.093926191329956
0,1699,1.7729861736297607
0,1749,2.651309013366699
0,1799,2.468423366546631
0,1849,2.0904457569122314
0,1899,2.086488723754883
0,1949,2.2132771015167236
0,1999,1.7520732879638672
0,2049,1.9867796897888184
0,2099,2.407109498977661
0,2149,1.6960234642028809
0,2199,1.9669556617736816
0,2249,2.524594306945801
0,2299,1.6766362190246582
0,2349,2.326799154281616
0,2399,2.1905956268310547
0,2449,1.5605671405792236
0,2499,1.7543632984161377
0,2549,2.2629342079162598
0,2599,2.126804828643799
0,2649,2.1037330627441406
0,2699,2.055663824081421
0,2749,2.0250296592712402
0,2799,2.241783857345581
0,2849,1.834646224975586
0,2899,1.973802089691162
0,2949,1.986173391342163
0,2999,2.2280123233795166
0,3049,2.337337017059326
0,3099,1.7505297660827637
0,3149,1.372610092163086
0,3199,1.7628026008605957
0,3249,2.2706665992736816
0,3299,2.015127658843994
0,3349,1.4465069770812988
0,3399,1.882993459701538
0,3449,2.014777183532715
0,3499,2.1594786643981934
0,3549,1.2985408306121826
0,3599,2.2227280139923096
0,3649,1.9693487882614136
0,3699,1.6682355403900146
0,3749,1.3882412910461426
0,3799,1.7586861848831177
0,3849,1.2726092338562012
0,3899,1.7206028699874878
0,3949,2.123199939727783
0,3999,1.428901195526123
0,4049,1.2945799827575684
0,4099,1.7770055532455444
0,4149,2.0320487022399902
0,4199,1.253441572189331
0,4249,2.2089552879333496
0,4299,1.9590988159179688
0,4349,2.285214424133301
0,4399,2.057589054107666
0,4449,1.6084721088409424
0,4499,1.7674198150634766
0,4549,2.0055317878723145
0,4599,1.7738343477249146
0,4649,2.3749120235443115
0,4699,1.8465040922164917
0,4749,1.9887529611587524
0,4799,1.249114990234375
0,4849,2.3268938064575195
0,4899,2.110610246658325
0,4949,1.9763141870498657
0,4999,1.941091537475586
0,5049,1.7378437519073486
0,5099,2.2171268463134766
0,5149,2.0771327018737793
0,5199,1.231845498085022
0,5249,1.2125906944274902
0,5299,1.798852801322937
0,5349,1.3139142990112305
0,5399,1.6948648691177368
0,5449,2.3218977451324463
0,5499,1.9584330320358276
0,5549,1.8317633867263794
0,5599,1.7484270334243774
0,5649,1.153702735900879
0,5699,2.1877284049987793
0,5749,1.722878336906433
0,5799,1.49153470993042
0,5849,1.7697404623031616
0,5899,1.9486703872680664
0,5949,1.6240519285202026
0,5999,1.8867859840393066
0,6049,1.899993658065796
0,6099,2.053292989730835
0,6149,1.9785864353179932
0,6199,1.4075746536254883
0,6249,1.6153080463409424
0,6299,1.4235526323318481
0,6349,1.5612695217132568
0,6399,1.470499038696289
0,6449,1.8167293071746826
0,6499,2.2095284461975098
0,6549,1.6312294006347656
0,6599,1.7643613815307617
0,6649,1.885908842086792
0,6699,1.7180914878845215
0,6749,1.726406455039978
0,6799,2.3146347999572754
0,6849,2.1963698863983154
0,6899,1.6549965143203735
0,6949,1.2427705526351929
0,6999,1.6597089767456055
0,7049,1.5739448070526123
0,7099,0.9857032299041748
0,7149,1.3928030729293823
0,7199,1.2494752407073975
0,7249,2.0320382118225098
0,7299,1.8004974126815796
0,7349,1.4253311157226562
0,7399,1.7047553062438965
0,7449,1.9597471952438354
0,7499,1.3569815158843994
0,7549,1.287652850151062
0,7599,1.792252540588379
0,7649,1.5091674327850342
0,7699,1.4493305683135986
0,7749,1.0527074337005615
0,7799,2.198676109313965
0,7849,1.3462531566619873
0,7899,1.5039820671081543
0,7949,1.453172206878662
0,7999,1.6168317794799805
0,8049,2.0174083709716797
0,8099,1.7011218070983887
0,8149,2.032292127609253
0,8199,1.613807201385498
0,8249,1.6354854106903076
0,8299,1.6402599811553955
0,8349,2.241245746612549
0,8399,2.000826597213745
0,8449,1.8768043518066406
0,8499,1.7171545028686523
0,8549,1.777504801750183
0,8599,1.2545850276947021
0,8649,1.0953576564788818
0,8699,1.8052949905395508
0,8749,1.5017778873443604
0,8799,1.6862462759017944
0,8849,1.4725759029388428
0,8899,1.7147462368011475
0,8949,1.8106828927993774
0,8999,1.51458740234375
0,9049,1.6716375350952148
0,9099,2.3960952758789062
0,9149,2.0124120712280273
0,9199,2.1152913570404053
0,9249,1.8489593267440796
0,9299,1.5975298881530762
0,9349,1.5796990394592285
0,9399,2.1363813877105713
0,9449,2.007639169692993
0,9499,1.7794435024261475
0,9549,1.874180793762207
0,9599,1.7056121826171875
0,9649,1.6350727081298828
0,9699,2.125584125518799
0,9749,1.6931382417678833
0,9799,1.524000644683838
0,9849,1.729630708694458
0,9899,1.7202552556991577
0,9949,1.6980950832366943
0,9999,1.8218464851379395
